# This is s1226-all-comb1.txt the combined spectrum created by combine_mage_spectra.pro from s1226-all.ls
# Total exptime should be        44705.000 s  (       12.418056 hr)
# 4010.0 +/- 173.0 was the median spectral resolution and MAD, R===lambda / (FWHM)
# Created from:  Individual filenames, barycentric correction(km/s), exptime(s)
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Apr_2009/Mage_pipe/Slit2_bin1x1/Final-Products/Fluxed/s1226+2152b-tel-comb.txt      -15.340000       7800.0000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Apr_2009/Mage_pipe/Slit2_bin1x1/Final-Products/Fluxed/s1226+2152a-tel-comb.txt      -15.870000       3600.0000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Feb2008/Mage_pipe/Reduce_slit2/Final-Products/Fluxed/s1226-tel-comb.txt       17.050000       10505.000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Feb2010/Reduce_slit0.7/Final-Products/Fluxed/sdss1226b-tel-comb.txt      -28.870000       6600.0000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Feb2010/Reduce_slit0.7/Final-Products/Fluxed/sdss1226c-tel-comb.txt      -29.040000       7200.0000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Feb2010/Reduce_slit0.7/Final-Products/Fluxed/sdss1226d-tel-comb.txt      -28.970000       5400.0000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Feb2010/Reduce_slit0.7/Final-Products/Fluxed/sdss1226a-tel-comb.txt      -28.800000       3600.0000
#  Wavelengths have been converted to vacuum barycentric Angstroms
#  Flux density (fnu)   units are erg/s/cm^2/Hz.  Note:  it is fnu, NOT flambda
#
wave        fnu          noise     obswave    avgsky      cont_fnu    cont_uncert
 3059.2325  -6.441e-28   1.340e-28  3058.500   4.799e-28   5.803e-29   5.790e-29
 3059.4584   1.748e-29   1.619e-28  3058.726        -NaN   5.773e-29   5.741e-29
 3059.6842  -2.048e-28   1.548e-28  3058.951        -NaN   5.744e-29   5.692e-29
 3059.9101  -1.441e-28   1.595e-28  3059.177        -NaN   5.715e-29   5.643e-29
 3060.1359   7.957e-30   1.572e-28  3059.403        -NaN   5.687e-29   5.595e-29
 3060.3619  -2.411e-28   1.536e-28  3059.629        -NaN   5.658e-29   5.547e-29
 3060.5877   2.013e-28   1.586e-28  3059.855        -NaN   5.630e-29   5.500e-29
 3060.8136   1.659e-29   1.578e-28  3060.081        -NaN   5.602e-29   5.453e-29
 3061.0394  -1.940e-29   1.457e-28  3060.306   7.583e-28   5.574e-29   5.406e-29
 3061.2652   1.285e-28   1.449e-28  3060.532   6.804e-28   5.547e-29   5.360e-29
 3061.4911  -2.303e-29   1.432e-28  3060.758   6.208e-28   5.519e-29   5.314e-29
 3061.7169   1.766e-29   1.424e-28  3060.984   5.713e-28   5.492e-29   5.268e-29
 3061.9428  -2.139e-28   1.400e-28  3061.209   7.041e-28   5.465e-29   5.223e-29
 3062.1686  -2.084e-28   1.400e-28  3061.435   7.202e-28   5.438e-29   5.178e-29
 3062.3946  -2.628e-29   1.406e-28  3061.661   6.512e-28   5.412e-29   5.134e-29
 3062.6204  -1.193e-28   1.364e-28  3061.887   5.678e-28   5.386e-29   5.089e-29
 3062.8463   8.101e-29   1.407e-28  3062.113   5.513e-28   5.360e-29   5.046e-29
 3063.0721  -2.749e-29   1.376e-28  3062.339   5.230e-28   5.334e-29   5.002e-29
 3063.2979  -3.370e-29   1.383e-28  3062.564   6.241e-28   5.308e-29   4.959e-29
 3063.5238  -8.120e-29   1.372e-28  3062.790   5.957e-28   5.282e-29   4.916e-29
 3063.7496   2.032e-29   1.394e-28  3063.016   6.696e-28   5.257e-29   4.874e-29
 3063.9755   6.407e-29   1.387e-28  3063.242   6.204e-28   5.232e-29   4.832e-29
 3064.2013  -2.013e-28   1.394e-28  3063.468   9.436e-28   5.207e-29   4.790e-29
 3064.4273  -5.198e-29   1.375e-28  3063.693   8.256e-28   5.182e-29   4.749e-29
 3064.6531   2.030e-28   1.405e-28  3063.919   6.485e-28   5.158e-29   4.707e-29
 3064.8790  -2.234e-28   1.359e-28  3064.145   8.336e-28   5.134e-29   4.667e-29
 3065.1048   8.092e-29   1.384e-28  3064.371   7.767e-28   5.109e-29   4.626e-29
 3065.3307  -8.219e-31   1.363e-28  3064.597   7.003e-28   5.086e-29   4.586e-29
 3065.5565  -5.384e-29   1.341e-28  3064.823   6.684e-28   5.062e-29   4.546e-29
 3065.7823   1.584e-28   1.381e-28  3065.048   8.296e-28   5.038e-29   4.507e-29
 3066.0082  -2.097e-29   1.385e-28  3065.274   8.538e-28   5.015e-29   4.468e-29
 3066.2341  -1.619e-29   1.349e-28  3065.500   8.254e-28   4.992e-29   4.429e-29
 3066.4600   1.818e-29   1.351e-28  3065.726   7.722e-28   4.969e-29   4.390e-29
 3066.6858  -5.269e-29   1.335e-28  3065.952   7.574e-28   4.946e-29   4.352e-29
 3066.9117   2.477e-30   1.301e-28  3066.177   6.297e-28   4.923e-29   4.314e-29
 3067.1375   1.125e-28   1.323e-28  3066.403   5.901e-28   4.901e-29   4.277e-29
 3067.3634   4.577e-29   1.309e-28  3066.629   5.654e-28   4.878e-29   4.239e-29
 3067.5892  -1.775e-28   1.285e-28  3066.855   7.431e-28   4.856e-29   4.202e-29
 3067.8150   4.028e-30   1.291e-28  3067.081   5.877e-28   4.834e-29   4.166e-29
 3068.0409   1.573e-29   1.296e-28  3067.306   5.796e-28   4.813e-29   4.129e-29
 3068.2668   1.781e-28   1.306e-28  3067.532   6.350e-28   4.791e-29   4.093e-29
 3068.4927  -9.727e-29   1.289e-28  3067.758   6.522e-28   4.770e-29   4.057e-29
 3068.7185  -4.861e-29   1.258e-28  3067.984   6.658e-28   4.749e-29   4.022e-29
 3068.9444   4.068e-29   1.268e-28  3068.210   6.040e-28   4.727e-29   3.987e-29
 3069.1702   1.004e-28   1.270e-28  3068.436   5.025e-28   4.707e-29   3.952e-29
 3069.3961   9.562e-30   1.245e-28  3068.661   5.296e-28   4.686e-29   3.917e-29
 3069.6219  -1.451e-29   1.264e-28  3068.887   6.199e-28   4.665e-29   3.883e-29
 3069.8478  -1.829e-28   1.229e-28  3069.113   6.621e-28   4.645e-29   3.849e-29
 3070.0736   7.283e-29   1.262e-28  3069.339   5.604e-28   4.625e-29   3.815e-29
 3070.2995  -1.463e-28   1.231e-28  3069.565   6.417e-28   4.605e-29   3.782e-29
 3070.5254   1.296e-28   1.267e-28  3069.790   6.879e-28   4.585e-29   3.748e-29
 3070.7512   1.560e-28   1.257e-28  3070.016   6.691e-28   4.565e-29   3.716e-29
 3070.9771   7.060e-29   1.249e-28  3070.242   6.011e-28   4.545e-29   3.683e-29
 3071.2029   1.948e-28   1.235e-28  3070.468   5.064e-28   4.526e-29   3.650e-29
 3071.4288  -5.724e-29   1.203e-28  3070.694   5.894e-28   4.507e-29   3.618e-29
 3071.6546  -1.938e-28   1.175e-28  3070.919   5.392e-28   4.488e-29   3.587e-29
 3071.8805   2.473e-29   1.208e-28  3071.145   5.818e-28   4.469e-29   3.555e-29
 3072.1064  -8.800e-29   1.184e-28  3071.371   4.527e-28   4.450e-29   3.524e-29
 3072.3322  -8.232e-29   1.193e-28  3071.597   6.172e-28   4.431e-29   3.493e-29
 3072.5581  -2.324e-29   1.195e-28  3071.823   5.630e-28   4.413e-29   3.462e-29
 3072.7839   1.339e-28   1.215e-28  3072.048   6.131e-28   4.395e-29   3.431e-29
 3073.0098   1.237e-28   1.230e-28  3072.274   7.633e-28   4.376e-29   3.401e-29
 3073.2356  -2.326e-29   1.199e-28  3072.500   7.167e-28   4.358e-29   3.371e-29
 3073.4615   5.594e-29   1.193e-28  3072.726   5.083e-28   4.340e-29   3.341e-29
 3073.6873  -4.473e-29   1.165e-28  3072.952   5.483e-28   4.323e-29   3.312e-29
 3073.9132  -3.904e-29   1.144e-28  3073.177   5.534e-28   4.305e-29   3.283e-29
 3074.1391   1.489e-29   1.157e-28  3073.403   4.229e-28   4.288e-29   3.254e-29
 3074.3650  -3.249e-28   1.104e-28  3073.629   5.298e-28   4.270e-29   3.225e-29
 3074.5908   9.186e-29   1.152e-28  3073.855   4.445e-28   4.253e-29   3.196e-29
 3074.8166   1.058e-28   1.152e-28  3074.081   4.546e-28   4.236e-29   3.168e-29
 3075.0425   1.314e-28   1.152e-28  3074.307   4.287e-28   4.219e-29   3.140e-29
 3075.2683  -1.431e-28   1.107e-28  3074.532   5.025e-28   4.203e-29   3.112e-29
 3075.4942  -9.223e-29   1.117e-28  3074.758   4.955e-28   4.186e-29   3.085e-29
 3075.7200   2.611e-29   1.148e-28  3074.984   5.590e-28   4.170e-29   3.058e-29
 3075.9459   7.103e-29   1.137e-28  3075.210   6.715e-28   4.153e-29   3.031e-29
 3076.1718   1.968e-29   1.128e-28  3075.436   5.719e-28   4.137e-29   3.004e-29
 3076.3977  -4.720e-29   1.130e-28  3075.662   5.179e-28   4.121e-29   2.977e-29
 3076.6235  -8.369e-29   1.113e-28  3075.887   5.569e-28   4.105e-29   2.951e-29
 3076.8494  -2.040e-28   1.092e-28  3076.113   4.688e-28   4.089e-29   2.925e-29
 3077.0752  -1.076e-28   1.078e-28  3076.339   5.781e-28   4.074e-29   2.899e-29
 3077.3010  -2.615e-29   1.092e-28  3076.565   4.145e-28   4.058e-29   2.873e-29
 3077.5269   1.534e-28   1.109e-28  3076.791   4.455e-28   4.043e-29   2.848e-29
 3077.7527   1.708e-28   1.114e-28  3077.016   4.808e-28   4.027e-29   2.822e-29
 3077.9787   2.823e-29   1.087e-28  3077.242   4.023e-28   4.012e-29   2.797e-29
 3078.2045   1.765e-28   1.102e-28  3077.468   5.105e-28   3.997e-29   2.773e-29
 3078.4304   6.764e-29   1.088e-28  3077.694   3.637e-28   3.982e-29   2.748e-29
 3078.6562  -3.849e-29   1.069e-28  3077.920   5.716e-28   3.968e-29   2.724e-29
 3078.8821   1.245e-28   1.090e-28  3078.145   4.329e-28   3.953e-29   2.700e-29
 3079.1079  -9.626e-29   1.065e-28  3078.371   5.938e-28   3.938e-29   2.676e-29
 3079.3337   9.893e-29   1.075e-28  3078.597   4.799e-28   3.924e-29   2.652e-29
 3079.5596  -1.095e-28   1.058e-28  3078.823   5.575e-28   3.910e-29   2.628e-29
 3079.7854  -7.528e-30   1.074e-28  3079.049   6.904e-28   3.896e-29   2.605e-29
 3080.0114   1.948e-28   1.096e-28  3079.274   6.008e-28   3.882e-29   2.582e-29
 3080.2372   5.915e-29   1.097e-28  3079.500   6.877e-28   3.868e-29   2.559e-29
 3080.4631   1.338e-28   1.114e-28  3079.726   8.290e-28   3.854e-29   2.537e-29
 3080.6889  -8.946e-29   1.084e-28  3079.952   8.529e-28   3.840e-29   2.514e-29
 3080.9148  -8.800e-29   1.086e-28  3080.178   9.151e-28   3.827e-29   2.492e-29
 3081.1406   2.642e-29   1.094e-28  3080.403   8.852e-28   3.813e-29   2.470e-29
 3081.3665  -3.245e-30   1.105e-28  3080.629   9.138e-28   3.800e-29   2.448e-29
 3081.5923   8.839e-29   1.101e-28  3080.855   8.378e-28   3.787e-29   2.426e-29
 3081.8182   3.708e-29   1.070e-28  3081.081   8.193e-28   3.773e-29   2.405e-29
 3082.0441   1.247e-28   1.075e-28  3081.307   6.934e-28   3.760e-29   2.383e-29
 3082.2699   5.004e-29   1.073e-28  3081.533   7.372e-28   3.748e-29   2.362e-29
 3082.4958   5.530e-29   1.052e-28  3081.758   6.910e-28   3.735e-29   2.341e-29
 3082.7216  -4.325e-29   1.058e-28  3081.984   8.941e-28   3.722e-29   2.321e-29
 3082.9475  -3.590e-29   1.084e-28  3082.210   8.941e-28   3.710e-29   2.300e-29
 3083.1733   1.531e-30   1.102e-28  3082.436   1.152e-27   3.697e-29   2.280e-29
 3083.3992   1.188e-29   1.075e-28  3082.662   9.894e-28   3.685e-29   2.260e-29
 3083.6250   8.125e-29   1.059e-28  3082.887   8.586e-28   3.672e-29   2.240e-29
 3083.8509   1.604e-28   1.042e-28  3083.113   6.265e-28   3.660e-29   2.220e-29
 3084.0768   1.376e-28   1.029e-28  3083.339   5.309e-28   3.648e-29   2.200e-29
 3084.3026   1.279e-28   1.023e-28  3083.565   5.954e-28   3.636e-29   2.181e-29
 3084.5285  -2.888e-29   1.017e-28  3083.791   6.862e-28   3.625e-29   2.162e-29
 3084.7543   5.949e-29   1.040e-28  3084.017   8.796e-28   3.613e-29   2.143e-29
 3084.9802  -5.590e-29   1.046e-28  3084.242   9.760e-28   3.601e-29   2.124e-29
 3085.2060   2.410e-28   1.072e-28  3084.468   1.006e-27   3.590e-29   2.105e-29
 3085.4319   9.883e-29   1.020e-28  3084.694   7.736e-28   3.578e-29   2.087e-29
 3085.6577   6.980e-29   1.008e-28  3084.920   6.709e-28   3.567e-29   2.068e-29
 3085.8837   1.053e-28   9.889e-29  3085.146   5.076e-28   3.556e-29   2.050e-29
 3086.1095   6.291e-29   9.788e-29  3085.371   5.616e-28   3.544e-29   2.032e-29
 3086.3353   2.569e-29   9.591e-29  3085.597   4.763e-28   3.533e-29   2.014e-29
 3086.5612   1.090e-28   9.857e-29  3085.823   5.558e-28   3.522e-29   1.997e-29
 3086.7870   1.809e-28   1.015e-28  3086.049   6.250e-28   3.512e-29   1.979e-29
 3087.0129   1.233e-28   1.031e-28  3086.275   9.208e-28   3.501e-29   1.962e-29
 3087.2387   1.455e-28   1.038e-28  3086.500   9.171e-28   3.490e-29   1.945e-29
 3087.4646   4.626e-29   1.021e-28  3086.726   1.115e-27   3.480e-29   1.927e-29
 3087.6905   5.537e-29   9.967e-29  3086.952   8.967e-28   3.469e-29   1.911e-29
 3087.9164   1.283e-28   9.881e-29  3087.178   6.783e-28   3.459e-29   1.894e-29
 3088.1422   9.552e-29   9.678e-29  3087.404   5.857e-28   3.448e-29   1.877e-29
 3088.3680   1.119e-29   9.263e-29  3087.630   4.056e-28   3.438e-29   1.861e-29
 3088.5939   5.498e-29   9.231e-29  3087.855   3.806e-28   3.428e-29   1.845e-29
 3088.8197  -1.841e-29   9.152e-29  3088.081   4.404e-28   3.418e-29   1.829e-29
 3089.0456  -6.098e-29   9.099e-29  3088.307   4.522e-28   3.408e-29   1.813e-29
 3089.2714  -3.163e-29   9.118e-29  3088.533   4.317e-28   3.398e-29   1.797e-29
 3089.4973   1.199e-29   9.432e-29  3088.758   6.017e-28   3.388e-29   1.781e-29
 3089.7232   2.012e-28   9.885e-29  3088.984   6.894e-28   3.379e-29   1.766e-29
 3089.9491   8.787e-29   9.728e-29  3089.210   9.147e-28   3.369e-29   1.751e-29
 3090.1749  -8.956e-30   9.631e-29  3089.436   8.567e-28   3.360e-29   1.735e-29
 3090.4008  -1.394e-29   9.448e-29  3089.662   8.238e-28   3.350e-29   1.720e-29
 3090.6266   5.151e-29   9.362e-29  3089.888   6.715e-28   3.341e-29   1.706e-29
 3090.8524  -2.696e-29   9.062e-29  3090.113   5.261e-28   3.331e-29   1.691e-29
 3091.0783   1.570e-29   9.067e-29  3090.339   4.707e-28   3.322e-29   1.676e-29
 3091.3041   6.230e-29   8.995e-29  3090.565   4.647e-28   3.313e-29   1.662e-29
 3091.5300  -1.613e-29   8.911e-29  3090.791   3.900e-28   3.304e-29   1.647e-29
 3091.7559   2.330e-29   8.840e-29  3091.017   4.071e-28   3.295e-29   1.633e-29
 3091.9818   6.207e-29   8.834e-29  3091.242   3.823e-28   3.286e-29   1.619e-29
 3092.2076   1.405e-28   8.886e-29  3091.468   3.979e-28   3.277e-29   1.605e-29
 3092.4335   1.047e-28   8.937e-29  3091.694   4.610e-28   3.269e-29   1.592e-29
 3092.6593  -8.806e-29   8.914e-29  3091.920   5.782e-28   3.260e-29   1.578e-29
 3092.8852   6.186e-29   9.193e-29  3092.146   7.426e-28   3.251e-29   1.564e-29
 3093.1110  -5.054e-29   9.166e-29  3092.372   7.822e-28   3.243e-29   1.551e-29
 3093.3368  -2.617e-29   9.161e-29  3092.597   8.472e-28   3.234e-29   1.538e-29
 3093.5628   6.509e-29   9.019e-29  3092.823   7.015e-28   3.226e-29   1.525e-29
 3093.7886   3.634e-29   8.835e-29  3093.049   5.377e-28   3.218e-29   1.512e-29
 3094.0145  -6.510e-29   8.566e-29  3093.275   4.235e-28   3.210e-29   1.499e-29
 3094.2403  -2.368e-29   8.588e-29  3093.501   4.629e-28   3.201e-29   1.486e-29
 3094.4662   2.370e-29   8.453e-29  3093.726   4.557e-28   3.193e-29   1.474e-29
 3094.6920  -6.278e-29   8.304e-29  3093.952   3.523e-28   3.185e-29   1.461e-29
 3094.9179  -6.048e-29   8.203e-29  3094.178   3.153e-28   3.177e-29   1.449e-29
 3095.1437  -4.251e-29   8.347e-29  3094.404   3.681e-28   3.170e-29   1.437e-29
 3095.3695   1.223e-29   8.373e-29  3094.630   3.803e-28   3.162e-29   1.425e-29
 3095.5955  -4.777e-29   8.216e-29  3094.856   3.708e-28   3.154e-29   1.413e-29
 3095.8213  -3.670e-29   8.293e-29  3095.081   4.062e-28   3.146e-29   1.401e-29
 3096.0472  -5.753e-29   8.356e-29  3095.307   4.425e-28   3.139e-29   1.389e-29
 3096.2730   3.166e-29   8.573e-29  3095.533   5.578e-28   3.131e-29   1.378e-29
 3096.4989   3.097e-29   8.722e-29  3095.759   6.692e-28   3.124e-29   1.366e-29
 3096.7247   1.696e-29   8.754e-29  3095.985   7.654e-28   3.116e-29   1.355e-29
 3096.9506   2.892e-29   8.780e-29  3096.210   7.107e-28   3.109e-29   1.343e-29
 3097.1764   1.582e-29   8.704e-29  3096.436   7.359e-28   3.102e-29   1.332e-29
 3097.4023   1.369e-28   8.557e-29  3096.662   5.592e-28   3.095e-29   1.321e-29
 3097.6282   1.800e-28   8.580e-29  3096.888   5.047e-28   3.088e-29   1.310e-29
 3097.8540   1.487e-28   8.494e-29  3097.114   3.680e-28   3.080e-29   1.300e-29
 3098.0799  -9.672e-29   7.990e-29  3097.339   3.858e-28   3.073e-29   1.289e-29
 3098.3057  -4.713e-29   7.952e-29  3097.565   3.415e-28   3.066e-29   1.278e-29
 3098.5316   4.242e-29   7.996e-29  3097.791   3.086e-28   3.060e-29   1.268e-29
 3098.7574   6.037e-31   8.030e-29  3098.017   3.975e-28   3.053e-29   1.258e-29
 3098.9833  -3.509e-29   7.989e-29  3098.243   4.093e-28   3.046e-29   1.247e-29
 3099.2091   3.782e-29   8.017e-29  3098.468   3.767e-28   3.039e-29   1.237e-29
 3099.4351  -4.701e-29   7.781e-29  3098.694   3.028e-28   3.033e-29   1.227e-29
 3099.6609  -1.048e-28   7.779e-29  3098.920   3.796e-28   3.026e-29   1.217e-29
 3099.8868   6.350e-29   7.935e-29  3099.146   3.483e-28   3.019e-29   1.207e-29
 3100.1126   8.957e-29   7.989e-29  3099.372   3.848e-28   3.013e-29   1.198e-29
 3100.3384  -1.185e-28   7.853e-29  3099.597   4.633e-28   3.007e-29   1.188e-29
 3100.5643  -1.712e-29   8.058e-29  3099.823   5.257e-28   3.000e-29   1.178e-29
 3100.7901  -5.818e-29   8.059e-29  3100.049   5.958e-28   2.994e-29   1.169e-29
 3101.0160   4.005e-30   8.070e-29  3100.275   5.902e-28   2.988e-29   1.160e-29
 3101.2418  -5.269e-29   7.906e-29  3100.501   4.986e-28   2.981e-29   1.150e-29
 3101.4678   1.786e-29   7.958e-29  3100.727   4.543e-28   2.975e-29   1.141e-29
 3101.6936   5.634e-29   8.043e-29  3100.952   4.537e-28   2.969e-29   1.132e-29
 3101.9195   7.584e-29   7.824e-29  3101.178   3.872e-28   2.963e-29   1.123e-29
 3102.1453   7.149e-29   7.834e-29  3101.404   3.695e-28   2.957e-29   1.114e-29
 3102.3711   6.614e-29   7.795e-29  3101.630   4.209e-28   2.951e-29   1.106e-29
 3102.5970   2.209e-29   7.709e-29  3101.856   3.335e-28   2.945e-29   1.097e-29
 3102.8228  -7.808e-29   7.541e-29  3102.081   4.093e-28   2.939e-29   1.088e-29
 3103.0487  -1.723e-29   7.580e-29  3102.307   3.739e-28   2.934e-29   1.080e-29
 3103.2746   3.022e-29   7.683e-29  3102.533   4.297e-28   2.928e-29   1.072e-29
 3103.5005   7.922e-29   7.749e-29  3102.759   3.958e-28   2.922e-29   1.063e-29
 3103.7263  -4.319e-29   7.563e-29  3102.985   3.793e-28   2.917e-29   1.055e-29
 3103.9522   1.925e-29   7.643e-29  3103.211   4.243e-28   2.911e-29   1.047e-29
 3104.1780   5.872e-29   7.648e-29  3103.436   4.159e-28   2.905e-29   1.039e-29
 3104.4039  -7.960e-29   7.487e-29  3103.662   4.175e-28   2.900e-29   1.031e-29
 3104.6297  -9.578e-29   7.549e-29  3103.888   5.101e-28   2.895e-29   1.023e-29
 3104.8555  -3.339e-29   7.630e-29  3104.114   4.455e-28   2.889e-29   1.015e-29
 3105.0814   5.303e-29   7.777e-29  3104.340   5.392e-28   2.884e-29   1.008e-29
 3105.3073   1.291e-28   7.821e-29  3104.565   4.822e-28   2.878e-29   9.999e-30
 3105.5332   6.293e-29   7.724e-29  3104.791   4.875e-28   2.873e-29   9.924e-30
 3105.7590   6.512e-29   7.650e-29  3105.017   5.863e-28   2.868e-29   9.849e-30
 3105.9849  -1.133e-29   7.569e-29  3105.243   4.831e-28   2.863e-29   9.775e-30
 3106.2107   3.789e-29   7.498e-29  3105.469   4.014e-28   2.858e-29   9.702e-30
 3106.4366   4.006e-29   7.461e-29  3105.694   3.706e-28   2.853e-29   9.630e-30
 3106.6624  -1.581e-29   7.309e-29  3105.920   3.495e-28   2.848e-29   9.559e-30
 3106.8883   3.237e-29   7.344e-29  3106.146   3.940e-28   2.843e-29   9.488e-30
 3107.1141   9.724e-29   7.418e-29  3106.372   3.882e-28   2.838e-29   9.418e-30
 3107.3400  -3.125e-29   7.243e-29  3106.598   3.950e-28   2.833e-29   9.349e-30
 3107.5659  -2.137e-29   7.194e-29  3106.823   3.672e-28   2.828e-29   9.281e-30
 3107.7917   1.945e-30   7.217e-29  3107.049   3.142e-28   2.823e-29   9.213e-30
 3108.0176   1.471e-28   7.441e-29  3107.275   3.273e-28   2.818e-29   9.146e-30
 3108.2434   1.191e-28   7.448e-29  3107.501   4.176e-28   2.813e-29   9.080e-30
 3108.4693   4.332e-29   7.377e-29  3107.727   4.615e-28   2.809e-29   9.015e-30
 3108.6951  -3.169e-29   7.189e-29  3107.952   3.840e-28   2.804e-29   8.950e-30
 3108.9210   9.708e-29   7.293e-29  3108.178   3.317e-28   2.799e-29   8.886e-30
 3109.1469   6.049e-29   7.213e-29  3108.404   3.509e-28   2.795e-29   8.823e-30
 3109.3727   5.817e-29   7.229e-29  3108.630   3.929e-28   2.790e-29   8.760e-30
 3109.5986  -2.186e-29   7.073e-29  3108.856   3.225e-28   2.786e-29   8.698e-30
 3109.8244   9.851e-29   7.225e-29  3109.082   3.621e-28   2.781e-29   8.637e-30
 3110.0503  -1.147e-29   7.074e-29  3109.307   3.649e-28   2.777e-29   8.576e-30
 3110.2761   2.911e-29   7.162e-29  3109.533   4.839e-28   2.772e-29   8.516e-30
 3110.5020  -6.025e-29   7.086e-29  3109.759   4.439e-28   2.768e-29   8.457e-30
 3110.7278   6.648e-29   7.290e-29  3109.985   4.430e-28   2.764e-29   8.398e-30
 3110.9537   1.096e-28   7.298e-29  3110.211   4.819e-28   2.759e-29   8.340e-30
 3111.1796   1.291e-28   7.311e-29  3110.436   4.140e-28   2.755e-29   8.283e-30
 3111.4055   6.050e-29   7.095e-29  3110.662   4.040e-28   2.751e-29   8.226e-30
 3111.6313  -1.253e-29   7.018e-29  3110.888   4.181e-28   2.747e-29   8.170e-30
 3111.8571  -6.390e-29   7.021e-29  3111.114   4.129e-28   2.743e-29   8.115e-30
